"relative_path","source_path","bytes","size_mb","purpose","source_last_write_time","copied_last_write_time"
"stata_output/CN_CN/DID_allfirm-level.dta.zip","stata_output/CN_CN/DID_allfirm-level.dta.zip","87414872","83.37","Main CN patent-science all-firm analysis panel, compressed","2026-06-26T12:03:44","2026-06-26T12:03:44"
"stata_output/CN_CN/DID_allfirm-level_cem.dta.zip","stata_output/CN_CN/DID_allfirm-level_cem.dta.zip","52567205","50.13","CEM-matched main CN patent-science all-firm panel, compressed","2026-06-26T11:59:48","2026-06-26T11:59:48"
"stata_output/CN_CN/DID_allfirm_mo.dta.zip","stata_output/CN_CN/DID_allfirm_mo.dta.zip","53388791","50.92","All-firm moderator/mediator panel generated from main panel, compressed","2026-06-26T12:02:00","2026-06-26T12:02:00"
"stata_output/CN_CN/DID_allfirm_mo_cem.dta.zip","stata_output/CN_CN/DID_allfirm_mo_cem.dta.zip","58915248","56.19","CEM-matched all-firm moderator/mediator panel, compressed","2026-06-26T12:00:48","2026-06-26T12:00:48"
"stata_output/CN_CN/DID_listedfirm-level.dta","stata_output/CN_CN/DID_listedfirm-level.dta","27095399","25.84","Chinese publicly listed firm analysis panel","2026-06-26T09:18:45","2026-06-26T09:18:45"
"stata_output/CN_CN/DID_listedfirm-level_cem.zip","stata_output/CN_CN/DID_listedfirm-level_cem.zip","24798285","23.65","CEM-matched Chinese publicly listed firm analysis panel, compressed","2026-09-01T17:20:19","2026-09-01T17:20:19"
"stata_output/CN_CN/DID_listedfirm_mo.dta","stata_output/CN_CN/DID_listedfirm_mo.dta","27475500","26.2","Listed-firm moderator/mediator panel","2026-06-26T09:19:04","2026-06-26T09:19:04"
"stata_output/CN_CN/DID_listedfirm_mo_cem.dta","stata_output/CN_CN/DID_listedfirm_mo_cem.dta","27925491","26.63","CEM-matched listed-firm moderator/mediator panel","2026-06-26T09:19:17","2026-06-26T09:19:17"
"stata_output/CN_CN/ROS_event_table.dta","stata_output/CN_CN/ROS_event_table.dta","4231","0","Saved event-study coefficient table for CN patent-science dynamics","2026-02-27T16:32:26","2026-02-27T16:32:26"
"stata_output/CN_CN/ROS_event_table_mo.dta","stata_output/CN_CN/ROS_event_table_mo.dta","6467","0.01","Saved event-study coefficient table for moderator/mediator dynamics","2026-02-27T16:39:28","2026-02-27T16:39:28"
"stata_output/CN_CN/ROS_event_table_mo_USPTO.dta","stata_output/CN_CN/ROS_event_table_mo_USPTO.dta","4913","0","Saved event-study coefficient table for USPTO alternative outcome","2026-02-27T13:58:51","2026-02-27T13:58:51"
"stata_output/CN_CN/USpatents_DID_allfirm.dta","stata_output/CN_CN/USpatents_DID_allfirm.dta","22863191","21.8","USPTO-filed-by-Chinese-firms alternative-outcome panel","2026-05-08T17:50:07","2026-05-08T17:50:07"
"stata_output/CN_CN/USpatents_DID_allfirm_mo.dta","stata_output/CN_CN/USpatents_DID_allfirm_mo.dta","24121751","23","USPTO alternative-outcome moderator/mediator panel","2026-05-12T14:14:30","2026-05-12T14:14:30"
"stata_output/CNKI/CNKI_DID.dta.zip","stata_output/CNKI/CNKI_DID.dta.zip","17918637","17.09","Main CNKI firm-publication DID panel, compressed","2026-06-26T12:04:25","2026-06-26T12:04:25"
"stata_output/CNKI/CNKI_DID_mo.dta.zip","stata_output/CNKI/CNKI_DID_mo.dta.zip","19539866","18.63","CNKI moderator/mediator panel, compressed","2026-06-26T12:04:01","2026-06-26T12:04:01"
"stata_output/CNKI/CNKI_event_table.dta","stata_output/CNKI/CNKI_event_table.dta","4231","0","Saved CNKI event-study coefficient table","2026-02-27T19:45:19","2026-02-27T19:45:19"
"stata_output/CNKI/CNKI_listedfirm_DID.dta","stata_output/CNKI/CNKI_listedfirm_DID.dta","34176408","32.59","CNKI listed-firm DID panel","2026-06-26T09:21:52","2026-06-26T09:21:52"
"stata_output/CNKI/CNKI_listedfirm_DID_cem.zip","stata_output/CNKI/CNKI_listedfirm_DID_cem.zip","30931609","29.5","CEM-matched CNKI listed-firm DID panel, compressed","2026-09-01T17:19:29","2026-09-01T17:19:29"
"stata_output/CNKI/CNKI_listedfirm_withsubs.dta","stata_output/CNKI/CNKI_listedfirm_withsubs.dta","409283","0.39","CNKI listed-firm subsidiary/publication process table","2026-02-27T22:18:11","2026-02-27T22:18:11"
"stata_output/WOS/CN_WOS_DID_listed.dta","stata_output/WOS/CN_WOS_DID_listed.dta","12340035","11.77","WOS listed-firm DID panel","2026-06-26T09:22:42","2026-06-26T09:22:42"
"stata_output/WOS/CN_WOS_DID_listed_cem.zip","stata_output/WOS/CN_WOS_DID_listed_cem.zip","9964825","9.5","CEM-matched WOS listed-firm DID panel, compressed","2026-09-01T17:21:14","2026-09-01T17:21:14"
"stata_output/WOS/US_WOS.dta","stata_output/WOS/US_WOS.dta","36344181","34.66","U.S. WOS firm-publication comparison panel","2026-06-26T08:25:13","2026-06-26T08:25:13"
"stata_output/WOS/WOS_CN_listed_with_subs.dta","stata_output/WOS/WOS_CN_listed_with_subs.dta","198845","0.19","WOS listed-firm subsidiary/publication process table","2026-02-27T22:18:17","2026-02-27T22:18:17"
"stata_output/WOS/WOS_event_table.dta","stata_output/WOS/WOS_event_table.dta","4231","0","Saved WOS event-study coefficient table","2026-02-28T07:48:33","2026-02-28T07:48:33"

